date,from_maturity,to_maturity,fwdCofDiv100pct,fwdCofDivMarket
2025-08-13,6M,3M,0.00793,0.00525
2025-08-13,1Y,3M,0.009691355311355314,0.004293956043956044
2025-08-13,1Y,6M,0.010586629834254143,0.0038080110497237573
2025-08-13,2Y,3M,0.009810721003134796,0.004875235109717868
2025-08-13,2Y,6M,0.010127619047619048,0.004812087912087913
2025-08-13,2Y,1Y,0.009899999999999999,0.00531
2025-08-20,6M,3M,0.00877,0.0061
2025-08-20,1Y,3M,0.009865164835164836,0.004618095238095238
2025-08-20,1Y,6M,0.01042182320441989,0.0038648618784530376
2025-08-20,2Y,3M,0.009879373040752351,0.005076865203761755
2025-08-20,2Y,6M,0.010066300366300367,0.004904468864468864
2025-08-20,2Y,1Y,0.009890000000000001,0.0054199999999999995
2025-08-27,6M,3M,0.00823,0.00616
2025-08-27,1Y,3M,0.009780989010989012,0.004736446886446887
2025-08-27,1Y,6M,0.010569337016574585,0.004012872928176796
2025-08-27,2Y,3M,0.00983191222570533,0.005121786833855799
2025-08-27,2Y,6M,0.010101831501831502,0.0049468498168498175
2025-08-27,2Y,1Y,0.00987,0.005410000000000001
2025-09-03,6M,3M,0.008423777777777777,0.006506666666666667
2025-09-03,1Y,3M,0.009873065693430657,0.004795474452554745
2025-09-03,1Y,6M,0.010581956521739133,0.003958478260869566
2025-09-03,2Y,3M,0.009939859154929577,0.005169342723004695
2025-09-03,2Y,6M,0.010188397085610201,0.0049501092896174865
2025-09-03,2Y,1Y,0.00999,0.00545
2025-09-10,6M,3M,0.008524777777777779,0.006869111111111111
2025-09-10,1Y,3M,0.009633211678832116,0.004688832116788321
2025-09-10,1Y,6M,0.01017538043478261,0.0036223913043478256
2025-09-10,2Y,3M,0.010099765258215963,0.005420641627543036
2025-09-10,2Y,6M,0.010357959927140257,0.005183187613843352
2025-09-10,2Y,1Y,0.010450000000000001,0.0059700000000000005
2025-09-17,6M,3M,0.008155666666666665,0.006479888888888888
